ACGK
ACHBPL
ACLS_b
ACOTA
ACPS1
ADSL1r
ADSL2r
ADSS
AGPR
AICART
AIRC4
ALAALA
ALAR
ALAt2r
ARGSL
ARGSSr
ASAD
ASPCT
ASPKi
BPNT
CA2abc
CBPS
CDPMEK
COBALTt5
CSND
CYTDH
Cuabc
DADNt2r
DAPDC
DAPE
DHAD1
DHAD2
DHDPRy
DHDPS
DHORTS
DMATT
DPCOAK
DXPRIr
DXPS
ENO
FE2abc
FMNAT
G1PACT
G5SADs
G5SDr
GAPD
GF6PTA
GLU5K
GLUPRT
GLUR
GMPS2
GRTT
H2CO3D
ILETA
IMPC
IMPD
MECDPDH2
MECDPS
MEPCT
METAT
METabc
MNt2
NNATr
NTD4
NTD5
NTD6
NTPP7
OCBT
OMPDC
ORNTAC
OROTPT
P5CRyr
PAPPT3
PEPGLY
PGAMT
PGM
PHETA1
PNTK
PNTOabc
PPCDC
PPCr
PPNCL3
PPNDH
PRAGS
PRAIS
PRASCSi
PRFGS
PRPPS
PTPAT
RBFK
RIBFLVt2r
SDPDS
SDPTA
SO4t2
SUCOAS
THDPS
THMDt2r
TRDRr
UAAGDS
UAGCVT_r
UAGDP
UAGPT3
UAMAGS
UAMAS
UAPGR
UDCPDP
UDCPDPS
UGMDDS
UMPK
UPPRT
VALTA
r0345
r2137
biomass535
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
