g.239961.CDS.1176,g.239961.CDS.1910
g.239961.CDS.1560,g.239961.CDS.1180
g.239961.CDS.141,g.239961.CDS.1910
g.239961.CDS.1129,g.239961.CDS.12
g.239961.CDS.1675,g.239961.CDS.1760
g.239961.CDS.447,g.239961.CDS.1481
g.239961.CDS.447,g.239961.CDS.109
g.239961.CDS.180,g.239961.CDS.1859
g.239961.CDS.523,g.239961.CDS.1859
g.239961.CDS.526,g.239961.CDS.913
g.239961.CDS.1727,g.239961.CDS.518
g.239961.CDS.133,g.239961.CDS.1859
g.239961.CDS.384,g.239961.CDS.1859
g.239961.CDS.1760,g.239961.CDS.1554
g.239961.CDS.633,g.239961.CDS.520
g.239961.CDS.1117,g.239961.CDS.1209
g.239961.CDS.41,g.239961.CDS.1910
g.239961.CDS.1481,g.239961.CDS.689
g.239961.CDS.1422,g.239961.CDS.153
g.239961.CDS.892,g.239961.CDS.758
g.239961.CDS.1636,g.239961.CDS.1802
g.239961.CDS.469,g.239961.CDS.1855
g.239961.CDS.140,g.239961.CDS.1248
g.239961.CDS.1910,g.239961.CDS.236
g.239961.CDS.1231,g.239961.CDS.780
g.239961.CDS.109,g.239961.CDS.689
g.239961.CDS.1611,g.239961.CDS.1679
g.239961.CDS.1569,g.239961.CDS.1814
g.239961.CDS.1002,g.239961.CDS.49
g.239961.CDS.1903,g.239961.CDS.49
g.239961.CDS.154,g.239961.CDS.234
g.239961.CDS.1803,g.239961.CDS.752
g.239961.CDS.1050,g.239961.CDS.640
g.239961.CDS.1224,g.239961.CDS.443
g.239961.CDS.376,g.239961.CDS.596
