AACPS6,STCOATA
ACALD,ASAD
ACALD,ASPKi
ACALD,HSK
ACALD,THRS
ACOAAGPAT180,AGPAT180
ADK1,NTPTP1
ADK1,r0456
ADK2,PPA2
ADOCBIK,ADOCBIK2
AKGS,SUCCt2r
ALCD19,GLYCt
ASNt2r,ASNS1
COBALTt5,Coabc
CTPS1,CTPS2
CYTD,CYTDt2r
DHORD2,DHORD5
DHORD2,FRD2
ENO,PPCK
FE2DH,FE3abc
FE2abc,FE3abc
G3PD1,G3PD2
GALU,GALT
GK1,GK2
GLUOX,GLNS
GMPS2,GNNUC
GMPS2,GUAPRT
GMPS2,NTD10
GMPS2,r1384
KARA1,ALACI
KARA1,KARA3
LEUTA,3MOBS
LEUTA,IPMDr
LEUTA,IPPMIa
LEUTA,IPPMIb
LEUTA,OMCDC
L_AROND,L_ARONR
MALCOAPYRCT,ACCOACL
MALCOAPYRCT,BTNCLi
METFR,r0792
METt2r,METabc
MGt5,MG2abc
MTHFC,FTHFL
NADK,NADK2
NADS1,NADS2
NDPK5,RNTR2
OCBT,HYPSUCORNS
PFL,OBTFL
PFL,PPAKr
PFL,PPAt2
PFL,PTA2
PGMT,GALK
PGMT,UDPG4E
RNDR2,RNTR2
RNTR1,RNDR1
RNTR3,NDPK3
RNTR3,NDPK7
RNTR3,RNDR3
SUCOAS,SUCCt2r
THRAr,ASAD
THRAr,ASPKi
THRAr,HSK
THRAr,THRS
URIDK3,DUTPDP
ACtr,ACKr
ADK2,ADK1
CYSt2r,AMPTASECG
DGK1,ADK1
FACOAL180,AACPS6
FE2abc,FE2DH
GAPD_NADP,GAPD
NDPK5,ADK1
OAASr,AKGS
PGCDr,ENO
PGCDr,GHMT2r
PGM,PGCDr
PSERT,ENO
PSERT,GHMT2r
PSERT,PGM
PSP_L,ENO
PSP_L,GHMT2r
PSP_L,PGM
PTAr,ACtr
SUCCITRDSs,OCBT
SUCOAS,OAASr
SUCORNTC,OCBT
TKT1,TALA
r0082,AKGS
r0082,SUCOAS
r0422,AKGS
r0422,SUCOAS
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
