AACPS6,STCOATA
ACALD,HSK
ACOAAGPAT180,AGPAT180
ADK1,DGK1
ADK1,NTPTP1
ADK1,r0456
ADK2,PPA2
ADOCBIK,ADOCBIK2
ALCD19,GLYCt
ASPTA,PHEt2r
CTPS1,CTPS2
CYTD,CYTDt2r
DHORD2,DHORD5
DHORD2,FRD2
ENO,ACCOACL
ENO,BTNCLi
FE2DH,FE3abc
FE2abc,FE3abc
FTHFL,GLYCL
G3PD1,G3PD2
GALU,GALT
GLUDy,GLNS
GLUOX,GLNS
GMPS2,GNNUC
GMPS2,GUAPRT
GMPS2,NTD10
GMPS2,r1384
IPDPS,IPDPS2
KARA1,ALACI
KARA1,KARA3
LEUTA,3MOBS
LEUTA,IPMDr
LEUTA,IPPMIa
LEUTA,IPPMIb
LEUTA,OMCDC
L_AROND,L_ARONR
MALCOAPYRCT,ACCOACL
MALCOAPYRCT,BTNCLi
METt2r,METabc
MGt5,MG2abc
MTHFC,GLYCL
NADK,NADK2
NADS1,NADS2
NDPK5,RNTR2
OAASr,AKGS
OAASr,SUCOAS
OCBT,HYPSUCORNS
OCBT,SUCCITRDSs
OCBT,SUCORNTC
PFL,OBTFL
PFL,PPAKr
PFL,PPAt2
PFL,PTA2
PGK,ACYP
PGM,ACCOACL
PGM,BTNCLi
PGMT,GALK
PGMT,UDPG4E
PIt6b,PIabc
RNDR2,RNTR2
RNTR1,NDPK8
RNTR1,RNDR1
RNTR3,NDPK3
RNTR3,NDPK7
RNTR3,RNDR3
SUCCt2r,AKGS
SUCCt2r,SUCOAS
THRAr,HSK
THRD_L,CYSTGL
THRD_L,CYSTS
ZN2t4,ZNabc
r0082,AKGS
r0082,SUCOAS
r0422,AKGS
r0422,SUCOAS
r0792,METFR
ACtr,ACKr
ADK2,ADK1
ASAD,ACALD
ASPKi,ACALD
CYSt2r,AMPTASECG
DMPPS2r,DMPPS
FACOAL180,AACPS6
FE2abc,FE2DH
GLUOX,GLUDy
MALCOAPYRCT,ENO
MTHFC,FTHFL
NDPK5,ADK1
PGM,MALCOAPYRCT
PPCKr,ENO
PPIt2e,PPA
PTAr,ACtr
THRAr,ASAD
THRAr,ASPKi
THRD_L,ASAD
THRD_L,ASPKi
THRD_L,CYSDS
THRS,ACALD
THRS,THRAr
TKT1,TALA
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
