ACGK
ACHBPL
ACLS_b
ACOTA
ACPS1
ADSL1r
ADSL2r
ADSS
AGPR
AICART
AIRC4
ALAALA
ALAR
ALAt2r
ARGSL
ARGSSr
ASAD
ASNt2r
ASPCT
ASPKi
BPNT
CA2abc
CBPS
CDPMEK
COBALTt5
Cuabc
DAPDC
DAPE
DHAD1
DHAD2
DHDPRy
DHDPS
DHFR
DHORTS
DMATT
DPCOAK
DTMPK
DXPRIr
DXPS
ENO
FE2abc
FE3abc
FMNAT
FTHFL
G1PACT
G5SADs
G5SDr
GAPD
GLU5K
GLUPRT
GLUR
GMPS2
GRTT
H2CO3D
ILETA
IMPC
IMPD
MECDPDH2
MECDPS
MEPCT
METAT
METabc
MNabc
MTHFC
MTHFD
NACt2r
NAPRT
NNATr
NTD4
OCBT
OMPDC
ORNTAC
OROTPT
P5CRyr
PAPPT3
PEPGLY
PFL
PGAMT
PGCDr
PGK
PGM
PHETA1
PIabc
PNTK
PNTOabc
PPA
PPCDC
PPCr
PPNCL3
PPNDH
PRAGS
PRAIS
PRASCSi
PRFGS
PRPPS
PSERT
PSP_L
PTPAT
PYNP1r
RBFK
RIBFLVt2r
RNTR3
SDPDS
SDPTA
SO4t2
SUCOAS
THDPS
THRD_L
TMDS
TRDRr
UAAGDS
UAGCVT_r
UAGDP
UAGPT3
UAMAGS
UAMAS
UAPGR
UDCPDP
UDCPDPS
UGMDDS
UMPK
VALTA
r2137
biomass525
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
