ACGK
ACHBPL
ACLS_b
ACOTA
ACPS1
ADSL1r
ADSL2r
ADSS
AGPR
AICART
AIRC4
ALAALA
ALAR
ALAt2r
ARGSL
ARGSSr
ASAD
ASPCT
ASPKi
BPNT
CA2abc
CBPS
CDPMEK
CMPN
COBALTt5
CSND
Cuabc
DAPDC
DAPE
DHAD1
DHAD2
DHDPRy
DHDPS
DHFR
DHORTS
DMATT
DPCOAK
DTMPK
DXPRIr
DXPS
FE2abc
FE3abc
FMNAT
G1PACT
G5SADs
G5SDr
GF6PTA
GLU5K
GLUPRT
GLUR
GMPS2
GRTT
H2CO3D
ILETA
IMPC
IMPD
MECDPDH2
MECDPS
MEPCT
METAT
METabc
MNt2
NACt2r
NAPRT
NNATr
OCBT
OMPDC
ORNTAC
OROTPT
P5CRyr
PAPPT3
PEPGLY
PGAMT
PHETA1
PIabc
PNTK
PNTOt4
PPA
PPCDC
PPNDH
PRAGS
PRAIS
PRASCSi
PRFGS
PRPPS
PTPAT
RBFK
RIBFLVt2r
SDPDS
SDPTA
SO4t2
SUCOAS
TECA4S
THDPS
TMDS
TRDRr
UAAGDS
UAG4E
UAGCVT_r
UAGDP
UAGPT3
UAMAGS
UAMAS
UAPGR
UDCPDP
UDCPDPS
UGMDDS
UMPK
UPPRT
VALTA
r2137
biomass524
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
