ADK5,NDPK3,RNTR3
ADK7,GK1,NDPK8
ADK8,NDPK7,RNTR3
ADK9,NDPK5,RNTR2
ADPT,FTHFL,MTHFC
ADPT,FTHFL,MTHFD
ADPT,GARFTi,GART
ADSL2r,ATPPRT,XPPT
ADSL2r,HISTP,XPPT
ADSL2r,HSTPTr,XPPT
ADSL2r,IG3PS,XPPT
ADSL2r,IGPDH,XPPT
ADSL2r,PRAMPC,XPPT
ADSL2r,PRATPP,XPPT
ADSL2r,PRMICI,XPPT
AIRC4,ATPPRT,XPPT
AIRC4,HISTP,XPPT
AIRC4,HSTPTr,XPPT
AIRC4,IG3PS,XPPT
AIRC4,IGPDH,XPPT
AIRC4,PRAMPC,XPPT
AIRC4,PRATPP,XPPT
AIRC4,PRMICI,XPPT
ASPO5,ASPO6,NAPRT
ASPO5,NAPRT,THIORDXi
ATPPRT,GLUPRT,XPPT
ATPPRT,H2CO3D,XPPT
ATPPRT,PRAGS,XPPT
ATPPRT,PRAIS,XPPT
ATPPRT,PRASCSi,XPPT
ATPPRT,PRFGS,XPPT
DCTPD,RNDR4,RNTR4
ENO,PPCK,PPCr
FTHFL,MTHFC,XPPT
FTHFL,MTHFD,XPPT
GALK,GALU,UGLT
GALK,GLCTR4r,PGMT
GALU,UDPG4E,UGLT
GAPD,PPCK,PPCr
GAPD,RBK,RPI
GLCTR4r,PGMT,UDPG4E
GLUPRT,HISTP,XPPT
GLUPRT,HSTPTr,XPPT
GLUPRT,IG3PS,XPPT
GLUPRT,IGPDH,XPPT
GLUPRT,PRAMPC,XPPT
GLUPRT,PRATPP,XPPT
GLUPRT,PRMICI,XPPT
H2CO3D,HISTP,XPPT
H2CO3D,HSTPTr,XPPT
H2CO3D,IG3PS,XPPT
H2CO3D,IGPDH,XPPT
H2CO3D,PRAMPC,XPPT
H2CO3D,PRATPP,XPPT
H2CO3D,PRMICI,XPPT
HISTP,PRAGS,XPPT
HISTP,PRAIS,XPPT
HISTP,PRASCSi,XPPT
HISTP,PRFGS,XPPT
HSTPTr,PRAGS,XPPT
HSTPTr,PRAIS,XPPT
HSTPTr,PRASCSi,XPPT
HSTPTr,PRFGS,XPPT
IG3PS,PRAGS,XPPT
IG3PS,PRAIS,XPPT
IG3PS,PRASCSi,XPPT
IG3PS,PRFGS,XPPT
IGPDH,PRAGS,XPPT
IGPDH,PRAIS,XPPT
IGPDH,PRASCSi,XPPT
IGPDH,PRFGS,XPPT
PGK,PPCK,PPCr
PGK,RBK,RPI
PGM,PPCK,PPCr
PRAGS,PRAMPC,XPPT
PRAGS,PRATPP,XPPT
PRAGS,PRMICI,XPPT
PRAIS,PRAMPC,XPPT
PRAIS,PRATPP,XPPT
PRAIS,PRMICI,XPPT
PRAMPC,PRASCSi,XPPT
PRAMPC,PRFGS,XPPT
PRASCSi,PRATPP,XPPT
PRASCSi,PRMICI,XPPT
PRATPP,PRFGS,XPPT
PRFGS,PRMICI,XPPT
RBK,RPI,TALA
RBK,RPI,TKT1
